epoch,loss,lr,val_loss
0,0.0011915097711607814,1e-04,0.0007419954636134207
1,0.0006957080331631005,1e-04,0.0005496679805219173
2,0.000536899664439261,1e-04,0.0005015742499381304
3,0.00043411910883150995,1e-04,0.00036637886660173535
4,0.0003494401171337813,1e-04,0.00033620436443015933
5,0.0002833158941939473,1e-04,0.00024127971846610308
6,0.00023528026940766722,1e-04,0.00024040725838858634
7,0.00020133296493440866,1e-04,0.0002607998321764171
8,0.0001788737572496757,1e-04,0.00020420893270056695
9,0.00016419404710177332,1e-04,0.0001926128170453012
10,0.0001552591274958104,1e-04,0.00018263001402374357
11,0.00014439818914979696,1e-04,0.00016438816965091974
12,0.00014521466800943017,1e-04,0.00016820240125525743
13,0.0001286239130422473,1e-04,0.00014750166155863553
14,0.00011893033661181107,1e-04,0.00016787908680271357
15,0.0001197180972667411,1e-04,0.0001879896008176729
